"Edit Amasty Efficient Order Export Profile","Edit Amasty Efficient Order Export Profile"
"New Profile","New Profile"
System,System
"Manage Profiles","Manage Profiles"
Profiles,Profiles
"Profile Run Success.","Profile Run Success."
"Profile Run Failed.","Profile Run Failed."
"Invalid crontab.","Invalid crontab."
"The profile is saved.","The profile is saved."
"Something went wrong while saving the item data. Please review the error log.","Something went wrong while saving the item data. Please review the error log."
"3rd Party Link","3rd Party Link"
"This item no longer exists.","This item no longer exists."
"Edit 3rd Party Link","Edit 3rd Party Link"
"New 3rd Party Link","New 3rd Party Link"
"Manage 3rd Party Link","Manage 3rd Party Link"
Thirdparty,Thirdparty
"This 3rd Party Link does not exist","This 3rd Party Link does not exist"
"The 3rd Party Link has been saved","The 3rd Party Link has been saved"
"Running by direct URL is disabled.","Running by direct URL is disabled."
"Incorrect security code.","Incorrect security code."
"Successfully complete.","Successfully complete."
"Incorrect profile ID.","Incorrect profile ID."
"Profile ID not specified.","Profile ID not specified."
"Customer Support Email","Customer Support Email"
"Amasty Orderexport processing","Amasty Orderexport processing"
"Message was sent from Amasty OrderExport and includes orders export file attached. 

Please, do not answer on this email.","Message was sent from Amasty OrderExport and includes orders export file attached. 

Please, do not answer on this email."
"There is no orders to export in profile with ID %1.","There is no orders to export in profile with ID %1."
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Profile with id ""%1"" does not exist.","Profile with id ""%1"" does not exist."
"Could not delete the profile with id %1: %2","Could not delete the profile with id %1: %2"
"Could not delete the queue item with id %1: %2","Could not delete the queue item with id %1: %2"
"Manage Mappings","Manage Mappings"
"Add Mapping","Add Mapping"
"Sort Option","Sort Option"
Delete,Delete
"Field Label","Field Label"
"Field Value","Field Value"
Position,Position
"At The Beginning","At The Beginning"
"At The End","At The End"
"General Settings","General Settings"
"Enable Automatic Execution","Enable Automatic Execution"
"Automatic execution of appropriate profiles after new order is placed (appropriate setting for a profile should be enabled)","Automatic execution of appropriate profiles after new order is placed (appropriate setting for a profile should be enabled)"
"Run Profile By URL","Run Profile By URL"
"Allow to run profile by direct URL","Allow to run profile by direct URL"
"This option can be useful when running profiles by cron (using wget for example) or with the help of the external software.
                        The URL format to use is the following: http://yourmagentourl/amasty_orderexport/index/run/id/[profile_id]/sec/[code]/ ,
                        where [code] is the value specified in the next setting","This option can be useful when running profiles by cron (using wget for example) or with the help of the external software.
                        The URL format to use is the following: http://yourmagentourl/amasty_orderexport/index/run/id/[profile_id]/sec/[code]/ ,
                        where [code] is the value specified in the next setting"
"Security code","Security code"
"You should provide this code in the URL to run profile. If security code is empty, profile will not run!
                        It is recommended to use combination of letters and digits, something about 10 symbols.","You should provide this code in the URL to run profile. If security code is empty, profile will not run!
                        It is recommended to use combination of letters and digits, something about 10 symbols."
CSV,CSV
"Excel XML","Excel XML"
"Amasty: Efficient Order Export - Product Attributes","Amasty: Efficient Order Export - Product Attributes"
"Rebuild attributes index","Rebuild attributes index"
"Are you sure?","Are you sure?"
"History ID","History ID"
"Profile ID","Profile ID"
"Run at","Run at"
Stores,Stores
"Run After a New Order is Placed","Run After a New Order is Placed"
"Execution by Cron","Execution by Cron"
"Thirdparty ID","Thirdparty ID"
